Latitude,Longitude,VSA_BPL
39.791952,-105.081227,114.6450856
39.791952,-105.081227,114.4673833
39.791952,-105.081227,113.9156088
39.791953,-105.081227,114.6542625
39.791953,-105.081225,114.7162704
39.791953,-105.081225,114.7293312
39.791953,-105.081225,115.1772031
39.791955,-105.081225,114.8372777
39.791955,-105.081225,115.3863196
39.791955,-105.081225,113.7083845
39.791955,-105.081225,114.5601297
39.791955,-105.081225,114.6926529
39.791957,-105.081225,114.9730522
39.791957,-105.081225,113.4401354
39.791957,-105.081225,113.6888616
39.791957,-105.081223,114.0448144
39.791957,-105.081223,113.8396063
39.791957,-105.081223,115.3266075
39.791958,-105.081223,114.4915133
39.791958,-105.081223,116.757875
39.791958,-105.081223,114.0652261
39.791958,-105.081223,114.6722726
39.791958,-105.081223,114.6817751
39.791958,-105.081223,114.7682749
39.79196,-105.081223,115.3821363
39.79196,-105.081223,115.2654458
39.79196,-105.081223,114.9487428
39.79196,-105.081222,115.5596855
39.79196,-105.081222,115.887024
39.79196,-105.081222,115.676018
39.791962,-105.081222,116.1591789
39.791962,-105.081222,115.5198732
39.791962,-105.081222,115.1309976
39.791962,-105.081222,114.5318346
39.791962,-105.081222,116.2395104
39.791962,-105.081222,116.4058665
39.791963,-105.081222,116.2955419
39.791963,-105.081222,115.567079
39.791963,-105.08122,115.1583605
39.791963,-105.08122,113.5959959
39.791963,-105.08122,114.2885912
39.791963,-105.08122,114.275955
39.791963,-105.08122,113.5148599
39.791965,-105.08122,115.2763443
39.791965,-105.08122,116.3903323
39.791965,-105.08122,115.2768812
39.791965,-105.08122,115.5678689
39.791962,-105.081222,119.5211166
39.791952,-105.081227,124.4968254
39.79193,-105.081237,125.0777998
39.791897,-105.081252,117.0981873
39.791853,-105.08127,121.8994453
39.791802,-105.081292,119.5039054
39.791742,-105.081317,120.7959761
39.791675,-105.081343,123.0617548
39.791602,-105.08137,119.5946991
39.791523,-105.081398,118.4813763
39.79144,-105.081423,114.0151178
39.791352,-105.081448,114.7909934
39.791262,-105.08147,115.8565707
39.791172,-105.081488,118.2065268
39.791082,-105.081503,116.3184268
39.790992,-105.081513,116.7791699
39.790902,-105.081522,117.8237106
39.790813,-105.081527,112.9577475
39.790727,-105.081532,117.5512207
39.790638,-105.081535,113.6625102
39.790552,-105.081538,112.939562
39.790467,-105.08154,112.0593696
39.79038,-105.081542,114.8451934
39.790292,-105.081543,118.1531067
39.7902,-105.081545,122.0784147
39.790105,-105.081548,117.3809715
39.790005,-105.081552,115.1496279
39.7899,-105.081553,114.2344446
39.789792,-105.081557,110.9824929
39.789678,-105.081558,109.7803887
39.789562,-105.081562,111.9329395
39.789445,-105.081565,110.8754553
39.789327,-105.081567,112.289367
39.789208,-105.08157,114.6871653
39.789087,-105.081572,116.110658
39.788965,-105.081572,113.3775099
39.788845,-105.081573,116.8788727
39.788723,-105.081578,118.3829251
39.7886,-105.08159,110.7174657
39.78848,-105.081613,112.6549202
39.78836,-105.081657,121.1048527
39.788243,-105.081717,125.8559498
39.78813,-105.081793,125.3590309
39.788022,-105.081888,123.4796107
39.787918,-105.082002,124.572493
39.787817,-105.082137,119.8605475
39.787715,-105.082287,116.1904325
39.787607,-105.082448,115.5099474
39.787497,-105.082612,112.1699057
39.787385,-105.082777,115.1803925
39.787277,-105.08294,115.4249433
39.787167,-105.083098,112.9133335
39.787055,-105.083245,111.8372121
39.786933,-105.083377,111.6765676
39.7868,-105.083487,113.0089591
39.786657,-105.08357,113.0587283
39.786502,-105.083622,111.2640738
39.786345,-105.083638,111.1605931
39.78619,-105.08362,112.2761381
39.786043,-105.08357,111.3883122
39.785905,-105.083495,111.5530758
39.785778,-105.083397,112.2878621
39.785665,-105.083275,112.6394846
39.785567,-105.083133,114.2385972
39.785483,-105.082975,112.6029816
39.78541,-105.082803,112.7782959
39.785343,-105.082622,110.1728222
39.785283,-105.082427,109.3668502
39.78523,-105.082222,111.4336756
39.785185,-105.082012,111.7678161
39.785152,-105.081795,109.8641298
39.785127,-105.081573,111.3398407
39.785107,-105.081345,111.851556
39.785093,-105.08111,113.3770734
39.78509,-105.080868,110.871704
39.785095,-105.080618,112.4503348
39.785105,-105.080362,114.8600209
39.78512,-105.0801,110.698062
39.785133,-105.079832,111.5055201
39.785148,-105.079558,116.2813646
39.785165,-105.079282,113.5479203
39.785187,-105.079,111.8260072
39.785215,-105.078717,113.8790926
39.785253,-105.078435,112.5679076
39.785297,-105.078153,112.0513268
39.785343,-105.077875,113.4517402
39.785388,-105.077597,112.0824721
39.785432,-105.077322,110.5313389
39.785473,-105.077048,111.7373045
39.785513,-105.076778,114.0296064
39.785552,-105.076515,111.8568597
39.78559,-105.076253,120.8010332
39.785623,-105.075993,132.0736448
39.785652,-105.075732,131.4810123
39.785668,-105.075468,123.3272298
39.785673,-105.075203,132.062557
39.785667,-105.074937,133.0453157
39.785645,-105.07467,131.2048251
39.78561,-105.074405,130.5967687
39.785563,-105.074142,129.0944637
39.785505,-105.073883,127.7557041
39.785435,-105.07363,127.6909402
39.785352,-105.073383,126.4550694
39.785257,-105.07314,127.8963672
39.785155,-105.0729,123.5240762
39.785048,-105.07266,116.7232635
39.78494,-105.072417,113.2806934
39.784832,-105.072167,110.9778103
39.784725,-105.071913,112.0956149
39.78462,-105.071653,111.7679353
39.784517,-105.071388,114.7317463
39.784412,-105.07112,113.3777923
39.784305,-105.070847,112.9684397
39.7842,-105.070568,122.1189778
39.784098,-105.070283,112.8483876
39.784003,-105.069995,110.9064453
39.783915,-105.069702,114.0715558
39.783835,-105.069405,115.1100334
39.78376,-105.069108,109.724344
39.783692,-105.068808,113.3185643
39.78363,-105.068508,119.8106814
39.783573,-105.068207,114.6004287
39.783523,-105.067902,120.565044
39.783478,-105.067595,116.4932212
39.78344,-105.067285,111.9236541
39.783408,-105.066975,112.7819685
39.783383,-105.066663,112.9979942
39.783363,-105.066348,117.0810467
39.783348,-105.066033,116.3077994
39.783337,-105.065717,114.9008979
39.783327,-105.065398,122.5323769
39.783315,-105.06508,112.4802186
