Latitude,Longitude,VSA_BPL,,,,,,
39.752475,-104.999272,146.9105671,,,,,,
39.752367,-104.999157,147.0705059,,,,,,
39.75232,-104.999103,145.3550389,,,,,,
39.752283,-104.999055,146.3358491,,,,,,
39.752255,-104.999018,154.0987572,,,,,,
39.752223,-104.99898,144.5967053,,,,,,
39.752218,-104.998975,145.6385858,,,,,,
39.752218,-104.998972,145.5365911,,,,,,
39.75222,-104.998968,145.7694853,,,,,,
39.75222,-104.998963,145.8625207,,,,,,
39.752222,-104.998962,146.0991493,,,,,,
39.752222,-104.998958,145.7084965,,,,,,
39.752223,-104.998957,144.4247052,,,,,,
39.752225,-104.99895,142.5643882,,,,,,
39.752227,-104.998947,144.2816134,,,,,,
39.752227,-104.998945,144.7540563,,,,,,
39.752228,-104.998942,145.4945626,,,,,,
39.75223,-104.998937,144.2590668,,,,,,
39.752232,-104.998933,144.3800483,,,,,,
39.752232,-104.99893,144.8665138,,,,,,
39.752233,-104.998927,144.9519624,,,,,,
39.752235,-104.998923,146.2853308,,,,,,
39.752237,-104.99892,146.5510118,,,,,,
39.752237,-104.998917,148.0024589,,,,,,
39.752237,-104.998912,146.1697006,,,,,,
39.75223,-104.998902,145.1293701,,,,,,
39.752215,-104.99888,145.8173016,,,,,,
39.752187,-104.998848,147.0446704,,,,,,
39.752152,-104.998807,147.6152024,,,,,,
39.75211,-104.998753,146.1497089,,,,,,
39.752065,-104.998697,145.3510936,,,,,,
39.751958,-104.998557,148.3240495,,,,,,
39.7519,-104.998482,145.7052473,,,,,,
39.75184,-104.998402,143.3535371,,,,,,
39.751778,-104.998322,139.6686923,,,,,,
39.751717,-104.99824,140.7732066,,,,,,
39.751655,-104.99816,140.8440016,,,,,,
39.751597,-104.998082,143.2777529,,,,,,
39.751537,-104.998003,144.1075001,,,,,,
39.751477,-104.997927,142.1009507,,,,,,
39.751415,-104.997848,138.2893855,,,,,,
39.751353,-104.997772,143.013143,,,,,,
39.751292,-104.997697,138.8667739,,,,,,
39.751232,-104.997623,141.007912,,,,,,
39.751175,-104.997553,138.383629,,,,,,
39.751125,-104.99749,142.8272428,,,,,,
39.75108,-104.997437,143.5189705,,,,,,
39.751043,-104.997393,144.5908577,,,,,,
39.751015,-104.997362,142.0427074,,,,,,
39.750995,-104.997343,144.1058963,,,,,,
39.750985,-104.997333,142.8452576,,,,,,
39.750982,-104.997332,142.0962242,,,,,,
39.75098,-104.997333,142.0940554,,,,,,
39.750978,-104.997335,143.1017858,,,,,,
39.750977,-104.997338,143.2581334,,,,,,
39.750977,-104.99734,144.100259,,,,,,
39.750975,-104.997343,143.3021402,,,,,,
39.750972,-104.997347,144.3240853,,,,,,
39.75097,-104.997348,143.1985741,,,,,,
39.75097,-104.99735,143.7667936,,,,,,
39.75097,-104.997352,142.8011843,,,,,,
39.750968,-104.997353,143.5765602,,,,,,
39.750967,-104.997355,142.9975246,,,,,,
39.750967,-104.997357,142.1753876,,,,,,
39.750965,-104.997357,143.0830965,,,,,,
39.750965,-104.997358,143.7074005,,,,,,
39.750965,-104.997358,145.0824252,,,,,,
39.750965,-104.99736,143.6317226,,,,,,
39.750963,-104.99736,144.0306016,,,,,,
39.750963,-104.997362,144.5423341,,,,,,
39.750962,-104.997363,142.7210818,,,,,,
39.75096,-104.997367,142.6602721,,,,,,
39.750958,-104.99737,144.0892785,,,,,,
39.750957,-104.997373,143.4123025,,,,,,
39.750955,-104.997375,143.3549151,,,,,,
39.750955,-104.997377,144.2320199,,,,,,
39.750952,-104.997373,145.4138053,,,,,,
39.750943,-104.997363,143.4662457,,,,,,
39.750925,-104.997343,144.5468626,,,,,,
39.7509,-104.997323,142.6720147,,,,,,
39.750877,-104.997293,145.1987899,,,,,,
39.750848,-104.997257,143.2552071,,,,,,
39.750818,-104.99722,141.8693344,,,,,,
39.750787,-104.99718,145.5823836,,,,,,
39.750753,-104.997142,141.7672869,,,,,,
39.750718,-104.997102,143.6646638,,,,,,
39.750682,-104.997062,139.633173,,,,,,
39.750642,-104.997018,138.6293307,,,,,,
39.750602,-104.996972,141.4360435,,,,,,
39.750567,-104.996925,143.5386724,,,,,,
39.750535,-104.996878,144.0501122,,,,,,
39.7505,-104.996833,145.3417474,,,,,,
39.750465,-104.996783,143.34801,,,,,,
39.750423,-104.99673,142.1337179,,,,,,
39.750377,-104.996675,141.8822089,,,,,,
39.75033,-104.996615,138.640668,,,,,,
39.750283,-104.996555,142.4862067,,,,,,
39.750247,-104.996493,140.4150785,,,,,,
39.750218,-104.996435,141.7355804,,,,,,
39.750195,-104.996387,140.5890049,,,,,,
39.750172,-104.99635,141.1026298,,,,,,
39.750142,-104.996328,139.538821,,,,,,
39.750112,-104.996325,143.8788505,,,,,,
39.75006,-104.996358,141.3511389,,,,,,
39.750038,-104.996388,142.630395,,,,,,
39.750017,-104.996423,143.1242221,,,,,,
39.749982,-104.99647,143.6056417,,,,,,
39.749937,-104.996527,144.5523742,,,,,,
39.749882,-104.996593,145.8485672,,,,,,
39.749823,-104.996662,148.689909,,,,,,
39.749763,-104.996732,149.4999096,,,,,,
39.7497,-104.996805,147.4570768,,,,,,
39.749638,-104.996875,146.8775756,,,,,,
39.749582,-104.996943,147.1621071,,,,,,
39.749525,-104.997008,146.7994046,,,,,,
39.74947,-104.997077,147.8826546,,,,,,
39.749417,-104.997152,150.0155722,,,,,,
39.749362,-104.997225,148.5700255,,,,,,
39.749308,-104.997298,144.6030522,,,,,,
39.74926,-104.997368,144.4991053,,,,,,
39.749213,-104.997438,143.7362139,,,,,,
39.749167,-104.99751,150.1824947,,,,,,
39.749117,-104.997578,150.2641817,,,,,,
39.749068,-104.997645,150.0838693,,,,,,
39.749017,-104.99771,150.0811687,,,,,,
39.748965,-104.997772,151.3847851,,,,,,
39.748912,-104.99783,150.9556846,,,,,,
39.74886,-104.997887,151.5190189,,,,,,
39.748812,-104.997948,152.6951979,,,,,,
39.748767,-104.998008,150.3408187,,,,,,
39.748727,-104.998058,152.1047303,,,,,,
39.748692,-104.998102,151.4652561,,,,,,
39.748642,-104.99816,150.8783005,,,,,,
39.748628,-104.998178,152.41043,,,,,,
39.748613,-104.998195,149.9203569,,,,,,
39.748608,-104.998202,149.8433714,,,,,,
39.7486,-104.99821,150.2435784,,,,,,
39.748595,-104.998215,149.7753896,,,,,,
39.74859,-104.998218,148.1944712,,,,,,
39.74859,-104.998218,148.5203948,,,,,,
39.74859,-104.998218,146.6562314,,,,,,
39.748588,-104.998217,149.7439078,,,,,,
39.748588,-104.998215,148.0391046,,,,,,
39.748587,-104.998215,146.6226156,,,,,,
39.748587,-104.998213,146.657034,,,,,,
39.748585,-104.998213,148.7955703,,,,,,
39.748583,-104.998212,148.2235357,,,,,,
39.748583,-104.99821,149.8534524,,,,,,
39.748582,-104.998208,154.7329027,,,,,,
39.748578,-104.998208,153.12209,,,,,,
39.748565,-104.998222,153.1547681,,,,,,
39.748553,-104.998238,150.6139112,,,,,,
39.748535,-104.998262,151.1418024,,,,,,
39.748513,-104.998292,149.3849601,,,,,,
39.748465,-104.998353,149.4478453,,,,,,
39.74844,-104.998387,149.3141546,,,,,,
39.748415,-104.998422,148.9828546,,,,,,
39.748393,-104.998455,149.4621536,,,,,,
39.748368,-104.998525,145.9360318,,,,,,
39.748367,-104.998565,148.939219,,,,,,
39.748373,-104.998612,146.9552916,,,,,,
39.748392,-104.99866,147.2263246,,,,,,
39.748465,-104.998765,145.3774961,,,,,,
39.748515,-104.998818,147.4693879,,,,,,
39.748567,-104.998875,148.169619,,,,,,
39.748618,-104.998937,148.4363349,,,,,,
39.748772,-104.999142,149.1450323,,,,,,
39.748818,-104.999208,147.9603429,,,,,,
39.748862,-104.999265,148.3769955,,,,,,
39.748947,-104.999328,146.5970476,,,,,,
39.748993,-104.999328,147.1634414,,,,,,
39.74904,-104.999307,146.938533,,,,,,
39.749085,-104.999267,145.062171,,,,,,
39.749172,-104.999158,146.9666922,,,,,,
39.74922,-104.999095,147.049685,,,,,,
39.749272,-104.999028,145.4173051,,,,,,
39.749325,-104.998962,145.4750433,,,,,,
39.749432,-104.998828,147.0680112,,,,,,
39.749487,-104.998765,144.2164782,,,,,,
