Distance,Measured,Free Space loss Predicted,ITM Predicted,DNN Predicted,ITM Squared Error,DNN Squared Error,Free Space Loss Squared Error,,,,,,
11124.8568325334,147.8013004,124.2572495008,158.3568165292,146.654,111.4189207539,1.3162982078,554.3223327462,,,,,,
11124.3271837142,145.6437205,124.2568359601,158.2837807793,146.654,159.7711238644,1.0409702581,457.3988303235,,,,,,
11123.9334289976,147.2204957,124.2565285104,158.1707514737,146.664,119.9081015095,0.2750957393,527.3437890834,,,,,,
11123.3102055628,146.0888444,124.2560418659,157.9863072054,146.696,141.5496212065,0.3908195242,476.6712664938,,,,,,
11122.5913685759,147.0555825,124.2554805275,157.8933067193,146.714,117.4562662544,0.1053537993,519.8446499545,,,,,,
11121.7169084456,147.3142491,124.2547976145,158.6017584637,146.731,127.4078676363,0.4425563651,531.7383028125,,,,,,
11120.7876516588,146.8318608,124.2540718489,158.5304494218,146.649,136.856975742,0.0338047938,509.756553919,,,,,,
11119.9992281867,145.6897039,124.2534560291,158.4989097495,146.648,164.0757544952,0.7872943691,459.5127227844,,,,,,
11119.2671690487,143.8982869,124.252884195,158.5039268889,146.577,213.3247194842,7.2130548555,385.9418474413,,,,,,
11118.4883430518,146.0064992,124.2522757886,158.458405071,146.584,155.0499598209,0.3175331516,473.2462362338,,,,,,
11117.5526224928,146.2716864,124.2515447623,158.3716119701,146.57,146.408198802,0.0872101223,484.8866377456,,,,,,
11116.2944165905,147.3732389,124.2505616991,158.2422790039,146.567,118.1360327797,0.7026444535,534.658200935,,,,,,
11113.9717796551,149.6745188,124.248746681,158.2227855102,146.535,73.0728637493,9.8942885212,646.469887847,,,,,,
11113.1589898331,151.6789375,124.2481114391,158.1170743061,146.529,41.4496055341,26.5321571289,752.4502183845,,,,,,
11112.7830393862,150.0542574,124.2478175965,158.0700259417,146.528,64.252545314,12.4344912511,665.9723353318,,,,,,
11112.20120357,152.0025614,124.2473628145,158.0985055851,146.528,37.1605355082,29.9708225224,770.3510485221,,,,,,
11111.9982000751,148.522844,124.2472041347,158.0665268093,146.528,91.0818815642,3.9674425203,589.306690872,,,,,,
11111.8632729554,148.485545,124.2470986658,158.0411199382,146.531,91.3090123993,3.824156247,587.5022806936,,,,,,
11111.821549348,156.2007291,124.2470660514,158.0141353861,146.53,3.2884423585,93.3876601182,1021.0365822238,,,,,,
11112.0129243474,153.9236697,124.2472156441,157.9976030379,146.537,16.5969328415,54.6663516327,880.69192533,,,,,,
11112.1234288937,152.9398383,124.2473020214,157.9976372164,146.53,25.5813298788,41.0860270321,823.2616380976,,,,,,
11112.1194391792,155.9742236,124.2472989028,157.9976359824,146.53,4.0941976693,88.9102576988,1006.5977507403,,,,,,
11112.3404608931,151.9826669,124.2474716647,157.9775706409,146.545,35.9388708621,29.589975983,769.2410547376,,,,,,
11112.395717285,153.3515681,124.2475148554,157.9775877943,146.543,21.4000582119,46.3702177085,847.045915262,,,,,,
11112.4470067104,154.1984875,124.2475549452,157.9776037162,146.542,14.2817193759,58.6677487627,897.0583609021,,,,,,
11112.502265873,153.8433872,124.2475981377,157.9776208706,146.539,17.0918880427,53.2372661723,875.9107302231,,,,,,
11112.7233063765,156.9207947,124.2477709083,157.9440629976,146.547,1.0470780089,107.6986228353,1067.5264836925,,,,,,
11112.6937006871,158.3147526,124.247747768,157.9440537565,146.543,0.1374176326,138.5977037808,1160.5608182251,,,,,,
11112.8042248645,156.6178987,124.2478341553,157.9440882554,146.542,1.7587787367,101.4230006257,1047.821078627,,,,,,
11112.7450217787,155.9656443,124.2477878814,157.9426903804,146.547,3.9087112038,88.8050718929,1006.0224157902,,,,,,
11112.9108157753,157.2909991,124.2479174675,157.942742114,146.542,0.4247689563,115.4335166608,1091.8452437694,,,,,,
11113.0213470331,153.6227878,124.2480038587,157.9133479822,146.547,18.4089066769,50.052622415,862.8779315965,,,,,,
11112.9068913351,155.8420734,124.2479144002,157.9133120934,146.548,4.2900297252,86.4913652454,998.1908829056,,,,,,
11112.9325671713,153.1653277,124.2479344685,157.9133201443,146.542,22.5434322516,43.8154992,836.2156313057,,,,,,
11113.0431048106,153.1329558,124.2480208645,157.9133548046,146.546,22.8522146427,43.3484739764,834.3394662284,,,,,,
11113.0983742079,153.6915023,124.2480640626,157.9133721348,146.549,17.8241849023,51.0296251101,866.9160552381,,,,,,
11113.0392009193,152.0378943,124.2480178132,157.9133535804,146.548,34.5210217562,30.1389394252,772.2772351496,,,,,,
11113.149744097,155.9595307,124.2481042127,157.8772994856,146.548,3.677837115,88.5580880556,1005.614569857,,,,,,
11113.0353073954,156.0633548,124.2480147701,157.8772632466,146.549,3.2902638526,90.5229472603,1012.2158612196,,,,,,
11113.0353073954,154.395369,124.2480147701,157.8772632466,146.549,12.1235875445,61.5812002222,908.8629670644,,,,,,
11113.3155617548,153.5104437,124.2482338126,157.8773519956,146.548,19.0698880621,48.5592076001,856.2769274918,,,,,,
11113.4813828788,155.6793824,124.2483634133,157.8774045067,146.542,4.8313011816,83.3273652406,987.908954541,,,,,,
11113.7616370388,149.7583209,124.2485824469,157.8774932558,146.551,65.9209597433,10.274082072,650.7467559437,,,,,,
11113.8721862374,150.1661649,124.2486688455,157.8587688499,146.553,59.1761555298,13.0621879244,671.7166017336,,,,,,
11114.1485659783,148.613202,124.2488848435,157.8588572846,146.552,85.4821416408,4.2279666648,593.6199505015,,,,,,
11114.5304705579,145.1258344,124.2491833031,157.7276723421,146.557,158.8063195193,2.039656981,435.8345610219,,,,,,
11114.3291650118,143.9294311,124.2490259835,157.6957943613,146.554,189.512757441,6.8883619108,387.3183455502,,,,,,
11113.9481519361,142.3411258,124.2487282152,157.48954511,146.554,229.4746075902,17.874920251,327.3348503649,,,,,,
11113.2270934171,144.9347919,124.2481646677,157.2212031179,146.569,150.9559006142,2.6380519521,427.9365462471,,,,,,
11111.8704028486,143.1237304,124.2471042391,156.6634701642,146.559,183.3245528813,11.9112618519,356.3270152176,,,,,,
11111.1007226663,147.0445536,124.2465025773,156.5782857567,146.575,90.892048835,0.1564626505,519.7511304357,,,,,,
11110.1985191591,149.0131182,124.2457972684,156.3849140345,146.649,54.3433738262,5.5089638448,613.4201861312,,,,,,
11109.334981686,150.0021338,124.2451221335,156.2168048107,146.666,38.6221357715,11.8276412943,663.4236499904,,,,,,
11107.7782235046,151.0038209,124.2439048889,155.7911876355,146.563,22.9188802601,19.5967432807,716.0931049197,,,,,,
11107.0290384783,151.8666526,124.243319033,155.6197451758,146.577,14.0857038829,27.8536169663,763.0485573548,,,,,,
11106.372986424,150.0648877,124.2428059737,155.5283802721,146.589,29.8497510854,11.9569873458,666.7799046783,,,,,,
11105.7802866771,148.2501838,124.2423424325,155.4529823406,146.607,51.880306816,2.6902028978,576.3764471279,,,,,,
11104.4437781314,143.9455668,124.2412970792,155.2103532643,146.61,126.8954140857,7.0089025485,388.2582452316,,,,,,
11103.4764319107,142.6247297,124.2405403885,155.1271594368,146.593,156.3107493228,15.7789313363,337.9784166398,,,,,,
11102.5160652622,147.6340381,124.2397890924,155.1343285864,146.597,56.2543573806,1.0754480209,547.2908866319,,,,,,
11101.5921865505,152.4579354,124.2390662794,155.0303959852,146.597,6.6175534623,34.1048454762,796.3045744458,,,,,,
11099.9974997941,153.3605024,124.2378185063,155.1275932133,146.618,3.1226099423,45.3400545708,848.1307171726,,,,,,
11098.9089429686,149.0912121,124.2369666549,155.0190352124,146.627,35.1390868523,5.979062214,617.7335166441,,,,,,
11098.1960307903,147.8198939,124.2364087194,154.9556920282,146.646,50.9196149269,1.4206110689,556.1807732628,,,,,,
11096.2440242558,150.420753,124.2348808671,154.4421567766,146.628,16.1716883347,14.445723367,685.6998993608,,,,,,
11094.9721855383,151.6028662,124.2338852434,154.1527947944,146.62,6.5021358364,24.6796945811,749.0611186047,,,,,,
11093.176920909,152.5094867,124.2324796759,153.5997564307,146.635,1.1886880857,34.8747731639,799.5891262422,,,,,,
11091.7767315734,151.7545878,124.231383267,153.5162847902,146.604,3.1035762854,26.5491610367,757.5267877653,,,,,,
11090.8226301551,150.4276891,124.230636085,153.3422590379,146.602,8.4947179227,14.5747500643,686.2855866713,,,,,,
11090.0027017647,149.5530032,124.2299939261,153.1786948264,146.61,13.1456397696,8.6966198736,641.2547986881,,,,,,
11089.7903352385,151.2540417,124.2298275952,153.1809945365,146.604,3.713147234,21.6787243121,730.308147983,,,,,,
11089.5599487144,151.0667159,124.229647147,153.1427420392,146.598,4.3098845308,19.9962430903,720.2282592542,,,,,,
11089.5280896783,147.757869,124.2296221934,153.1246116001,146.595,28.8019261358,1.3452960972,553.5783977932,,,,,,
